realtime_start,date,value,realtime_end
11/7/2018,1/1/1940,26571,11/7/2018
11/7/2018,1/1/1941,.,11/7/2018
11/7/2018,1/1/1942,.,11/7/2018
11/7/2018,1/1/1943,.,11/7/2018
11/7/2018,1/1/1944,.,11/7/2018
11/7/2018,1/1/1945,.,11/7/2018
11/7/2018,1/1/1946,.,11/7/2018
11/7/2018,1/1/1947,30612,11/7/2018
11/7/2018,1/1/1948,31900,11/7/2018
11/7/2018,1/1/1949,33257,11/7/2018
11/7/2018,1/1/1950,34075,11/7/2018
11/7/2018,1/1/1951,34391,11/7/2018
11/7/2018,1/1/1952,35164,11/7/2018
11/7/2018,1/1/1953,35577,11/7/2018
11/7/2018,1/1/1954,35926,11/7/2018
11/7/2018,1/1/1955,36251,11/7/2018
11/7/2018,1/1/1956,37047,11/7/2018
11/7/2018,1/1/1957,37718,11/7/2018
11/7/2018,1/1/1958,37911,11/7/2018
11/7/2018,1/1/1959,38410,11/7/2018
11/7/2018,1/1/1960,39254,11/7/2018
11/7/2018,1/1/1961,39620,11/7/2018
11/7/2018,1/1/1962,40404,11/7/2018
11/7/2018,1/1/1963,40888,11/7/2018
11/7/2018,1/1/1964,41341,11/7/2018
11/7/2018,1/1/1965,41689,11/7/2018
11/7/2018,1/1/1966,42263,11/7/2018
11/7/2018,1/1/1967,42743,11/7/2018
11/7/2018,1/1/1968,43507,11/7/2018
11/7/2018,1/1/1969,44086,11/7/2018
11/7/2018,1/1/1970,44728,11/7/2018
11/7/2018,1/1/1971,44928,11/7/2018
11/7/2018,1/1/1972,45724,11/7/2018
11/7/2018,1/1/1973,46297,11/7/2018
11/7/2018,1/1/1974,46787,11/7/2018
11/7/2018,1/1/1975,46951,11/7/2018
11/7/2018,1/1/1976,47297,11/7/2018
11/7/2018,1/1/1977,47471,11/7/2018
11/7/2018,1/1/1978,47357,11/7/2018
11/7/2018,1/1/1979,47662,11/7/2018
11/7/2018,1/1/1980,49112,11/7/2018
11/7/2018,1/1/1981,49294,11/7/2018
11/7/2018,1/1/1982,49630,11/7/2018
11/7/2018,1/1/1983,49908,11/7/2018
11/7/2018,1/1/1984,50081,11/7/2018
11/7/2018,1/1/1985,50350,11/7/2018
11/7/2018,1/1/1986,50933,11/7/2018
11/7/2018,1/1/1987,51537,11/7/2018
11/7/2018,1/1/1988,51675,11/7/2018
11/7/2018,1/1/1989,52100,11/7/2018
11/7/2018,1/1/1990,52317,11/7/2018
11/7/2018,1/1/1991,52147,11/7/2018
11/7/2018,1/1/1992,52457,11/7/2018
11/7/2018,1/1/1993,53090,11/7/2018
11/7/2018,1/1/1994,53171,11/7/2018
11/7/2018,1/1/1995,53858,11/7/2018
11/7/2018,1/1/1996,53567,11/7/2018
11/7/2018,1/1/1997,53604,11/7/2018
11/7/2018,1/1/1998,54317,11/7/2018
11/7/2018,1/1/1999,54770,11/7/2018
11/7/2018,1/1/2000,55311,11/7/2018
11/7/2018,1/1/2001,56592,11/7/2018
11/7/2018,1/1/2002,56747,11/7/2018
11/7/2018,1/1/2003,57320,11/7/2018
11/7/2018,1/1/2004,57719,11/7/2018
11/7/2018,1/1/2005,57975,11/7/2018
11/7/2018,1/1/2006,58179,11/7/2018
11/7/2018,1/1/2007,58945,11/7/2018
11/7/2018,1/1/2008,58370,11/7/2018
11/7/2018,1/1/2009,59118,11/7/2018
11/7/2018,1/1/2010,58410,11/7/2018
11/7/2018,1/1/2011,58656,11/7/2018
11/7/2018,1/1/2012,58949,11/7/2018
11/7/2018,1/1/2013,59204,11/7/2018
11/7/2018,1/1/2014,59629,11/7/2018
11/7/2018,1/1/2015,60010,11/7/2018
11/7/2018,1/1/2016,60251,11/7/2018
11/7/2018,1/1/2017,60804,11/7/2018
